day,value
2013-10-20,16.0
2013-10-21,21.0
2013-10-22,19.0
2013-10-23,12.0
2013-10-24,11.0
2013-10-25,11.0
2013-10-26,12.0
2013-10-27,11.0
2013-10-28,14.0
2013-10-29,15.0
2013-10-30,14.0
2013-10-31,15.0
2013-11-01,14.0
2013-11-02,11.0
2013-11-03,8.0
2013-11-04,12.0
2013-11-05,9.0
2013-11-06,10.0
2013-11-07,14.0
2013-11-08,16.0
2013-11-09,10.0
2013-11-10,11.0
2013-11-11,13.0
2013-11-12,17.0
2013-11-13,12.0
2013-11-14,11.0
2013-11-15,16.0
2013-11-16,NA
2013-11-17,NA
2013-11-18,NA
2013-11-19,NA
2013-11-20,8.0
2013-11-21,8.0
2013-11-22,8.0
2013-11-23,9.0
2013-11-24,11.0
2013-11-25,11.0
2013-11-26,10.0
2013-11-27,12.0
2013-11-28,16.0
2013-11-29,23.0
2013-11-30,20.0
2013-12-01,8.0
2013-12-02,10.0
2013-12-03,20.0
2013-12-04,26.0
2013-12-05,24.0
2013-12-06,16.0
2013-12-07,22.0
2013-12-08,21.0
2013-12-09,28.0
2013-12-10,33.0
2013-12-11,30.0
2013-12-12,24.0
2013-12-13,26.0
2013-12-14,25.0
2013-12-15,26.0
2013-12-16,21.0
2013-12-17,25.0
2013-12-18,27.0
2013-12-19,20.0
2013-12-20,19.0
2013-12-21,16.0
2013-12-22,19.0
2013-12-23,20.0
2013-12-24,17.0
2013-12-25,8.0
2013-12-26,NA
2013-12-27,9.0
2013-12-28,10.0
2013-12-29,8.0
2013-12-30,12.0
2013-12-31,15.0
2014-01-01,14.0
2014-01-02,16.0
2014-01-03,16.0
2014-01-04,11.0
2014-01-05,8.0
2014-01-06,8.0
2014-01-07,14.0
2014-01-08,22.0
2014-01-09,27.0
2014-01-10,29.0
2014-01-11,24.0
2014-01-12,20.0
2014-01-13,10.0
2014-01-14,8.0
2014-01-15,9.0
2014-01-16,14.0
2014-01-17,10.0
2014-01-18,12.0
