,PM10 (µg/m³),PM2.5 (µg/m³),As (ng/m³),Ni (ng/m³),Cd (ng/m³),Pb (ng/m³),C6H6 (µg/m³),B(a)p (ng/m³),Dades pendents de validació
02/01/2016,18,14,1,2,0.4,10,1.5,0.1,
03/01/2016,15,12,1,2,0.4,10,Sense dades,Sense dades,
04/01/2016,15,10,1,2,0.4,10,Sense dades,0.1,
05/01/2016,13,10,1,2,0.4,10,1.3,Sense dades,
06/01/2016,19,Sense dades,1,2,0.4,10,Sense dades,0.1,
07/01/2016,21,15,1,2,0.4,10,1.7,Sense dades,
08/01/2016,30,16,1,4,0.4,10,Sense dades,Sense dades,
09/01/2016,18,12,1,2,0.4,10,2,0.1,
10/01/2016,25,22,1,2,0.4,10,Sense dades,Sense dades,
11/01/2016,31,18,1,2,0.4,10,Sense dades,0.1,
12/01/2016,27,13,1,2,0.4,10,1.3,Sense dades,
13/01/2016,21,9,1,2.3,0.4,10,Sense dades,0.2,
14/01/2016,28,12,1,3,0.4,10,2.2,Sense dades,
15/01/2016,17,10,1,2.1,0.4,10,Sense dades,Sense dades,
16/01/2016,13,8,1,2,0.4,10,1.4,0.1,
17/01/2016,19,11,1,2,0.4,10,Sense dades,Sense dades,
18/01/2016,36,21,1,3,0.4,18.3,Sense dades,0.6,
19/01/2016,25,14,1,2.1,0.4,13.9,2.2,Sense dades,
20/01/2016,39,21,1,7,0.4,15.4,Sense dades,0.6,
21/01/2016,43,24,1,4.1,0.4,21,3.4,Sense dades,
22/01/2016,55,33,1,7.3,0.5,15.2,Sense dades,Sense dades,
23/01/2016,52,35,1,6.6,0.4,17.8,3.8,0.6,
24/01/2016,39,28,1,4,0.4,13.6,Sense dades,Sense dades,
25/01/2016,35,22,1,4.7,0.4,10,Sense dades,0.2,
26/01/2016,42,27,1,5.8,0.4,10,3.1,Sense dades,
27/01/2016,36,22,1,3.7,0.4,10,Sense dades,0.2,
28/01/2016,48,29,1,5,0.4,10.3,3.4,Sense dades,
29/01/2016,54,33,1,5.6,0.4,14.4,Sense dades,Sense dades,
30/01/2016,32,23,1,2.8,0.4,10,1.9,0.1,
31/01/2016,30,21,1,2.8,0.4,10,Sense dades,Sense dades,
01/02/2016,28,16,1,5.6,0.4,10,Sense dades,0.3,
02/02/2016,38,Sense dades,1,6.3,0.4,14.1,2.2,Sense dades,
03/02/2016,38,Sense dades,1,3.6,0.4,10,Sense dades,0.2,
04/02/2016,33,16,1,3.5,0.4,11.1,2.1,Sense dades,
05/02/2016,44,21,1,2.8,0.4,10,Sense dades,Sense dades,
06/02/2016,33,16,1,4.8,0.4,10,2.3,0.2,
07/02/2016,18,10,1,2.5,0.4,10,Sense dades,Sense dades,
08/02/2016,23,14,1,3,0.4,10,Sense dades,0.2,
09/02/2016,32,26,1,2.2,0.4,10,1.6,Sense dades,
10/02/2016,20,12,1,2,0.4,10,1.4,0.1,
11/02/2016,16,8,1,2.6,0.4,10,Sense dades,Sense dades,
