,PM10 (µg/m³),PM2.5 (µg/m³),As (ng/m³),Ni (ng/m³),Cd (ng/m³),Pb (ng/m³),C6H6 (µg/m³),B(a)p (ng/m³),Dades pendents de validació
02/01/2015,41,25,1,3.9,0.4,10,2.4,Sense dades,
03/01/2015,22,18,1,2,0.4,10,Sense dades,0.5,
04/01/2015,31,25,1,2.1,0.4,10,Sense dades,Sense dades,
05/01/2015,36,27,1,3.6,0.4,14.5,Sense dades,0.8,
06/01/2015,28,23,1,3.3,0.4,10,Sense dades,Sense dades,
07/01/2015,39,28,1,5.1,0.4,13.3,2.9,1,
08/01/2015,31,22,1,3.2,0.4,10,1.7,Sense dades,
09/01/2015,27,16,1,2,0.4,10,2.9,Sense dades,
10/01/2015,33,24,1,3.3,0.4,16.8,Sense dades,0.7,
11/01/2015,32,24,1,2.6,0.4,16.2,Sense dades,Sense dades,
12/01/2015,42,22,1,3.7,0.4,13.4,2.3,Sense dades,
13/01/2015,46,23,1,3.5,0.4,15,Sense dades,Sense dades,
14/01/2015,37,22,1,4.7,0.4,10.4,2.9,0.3,
15/01/2015,45,28,1,5.1,0.4,11.4,Sense dades,Sense dades,
16/01/2015,40,27,1,3.3,0.4,25.8,0.7,Sense dades,
17/01/2015,15,11,1,2,0.4,10,Sense dades,0.2,
18/01/2015,21,16,1,2.5,0.4,10,Sense dades,Sense dades,
19/01/2015,17,13,1,2,0.4,10,1.2,Sense dades,
20/01/2015,Sense dades,13,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
21/01/2015,Sense dades,17,Sense dades,Sense dades,Sense dades,Sense dades,2.4,Sense dades,
22/01/2015,34,21,1,3.5,0.4,10.3,Sense dades,Sense dades,
23/01/2015,25,16,1,2.5,0.4,10,Sense dades,Sense dades,
24/01/2015,16,12,1,2,0.4,10,1.6,0.2,
25/01/2015,21,Sense dades,1,2,0.4,10,Sense dades,Sense dades,
26/01/2015,30,15,1,2.2,0.4,10,2.1,0.3,
27/01/2015,28,23,1,2,0.4,10,Sense dades,Sense dades,
28/01/2015,27,15,1,2.9,0.4,10,1.6,0.3,
29/01/2015,39,33,1,3.3,0.4,10,Sense dades,Sense dades,
